REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I00682,,,
,,,I00683,,,
,,,I00684,,,
,,,I00685,,,
,,,I00686,,,
,,,I00687,,,
,,,I00688,,,
,,,I00689,,,
,,,I00690,,,
,,,I00691,,,
,,,I00692,,,
,,,I00693,,,
,,,I00694,,,
,,,I00695,,,
,,,I00696,,,
,,,I00697,,,
,,,I00698,,,
,,,I00699,,,
,,,I00700,,,
,,,I00701,,,
,,,I00702,,,
,,,I00703,,,
,,,I00704,,,
,,,I00705,,,
,,,I00706,,,
,,,I00707,,,
,,,I00708,,,
,,,I00709,,,
,,,I00710,,,
,,,I00711,,,
,,,I00712,,,
,,,I00713,,,
,,,I00714,,,
,,,I00715,,,
,,,I00716,,,
,,,I00717,,,
,,,I00718,,,
,,,I00719,,,
,,,I00720,,,
,,,I00721,,,
,,,I00722,,,
,,,I00723,,,
,,,I00724,,,
,,,I00725,,,
,,,I00726,,,
,,,I00727,,,
,,,I00728,,,
,,,I00729,,,
,,,I00730,,,
,,,I00731,,,
,,,I00732,,,
,,,I00733,,,
,,,I00734,,,
,,,I00735,,,
,,,I00736,,,
,,,I00737,,,
,,,I00738,,,
,,,I00739,,,
,,,I00740,,,
,,,I00741,,,
